GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99
metA	0.44343055751344806	0.28749364956605433	0.15389430397579737	0.3725356266973231	0.600383443447571	0.5227575233117826	0.5387341292479356	0.22590895215684154	0.40230528446386166	0.13581176469041806	0.2803511923613948	0.3427783020006192	0.16865204030070272	0.28739139030879446	0.190898685727085	0.1767168668600745	0.19757389296452932	0.1745836590803678	0.20588559443245993	0.2945476783297007	0.3607876067343133	0.21161347438093106	0.16138107722245165	0.25465722281201914	0.14614318391842493	0.5211723250455479	0.2934582015681492	0.1980281016067834	0.3938243300019424	0.36629288625658996	0.16207470656425532	0.3341640674478889	0.16246510744008588	0.5231449748460218	0.2576761530047511	0.15063442380094477	0.25467288905567864	0.2057466886287905	0.5672161238585	0.12166738556832216	0.21095940661215698	0.21286611585351098	0.2609820953000372	0.445782801876852	0.1447554981038824	0.3494564397343096	0.4973699034382637	0.17387970939901662	0.19994124194124138	0.2135250581690263	0.170515172005232	0.25475627106438725	0.26283993752456414	0.28283235161269604	0.2269782054273384	0.12383941156916708	0.28589589459839687	0.668446777878344	0.19242390033797951	0.16131705823613088	0.4620232835255125	0.3024666095372494	0.5869094346434026	0.30341750842747434	0.24323909346174657	0.3476759274069381	0.7331034627752282	0.2733723562217557	0.19831728939321697	0.24919588457543462	0.13548699249626564	0.4366080056608364	0.33327297603579914	0.14892034489784495	0.19541019787133232	0.5697928675788242	0.49327280167125626	0.22097114846370738	0.17832765233466538	0.265257937423771	0.2772923594902373	0.6394038703747433	0.6248663231700479	0.2972281869426758	0.17082694728042877	0.11217623378714203	0.18911624406343916	0.4661805270152806	0.6905881334500159	0.18061954034529973	0.12810164746488492	0.3609103382571448	0.23331488310610493	0.1538247078643982	0.3406151577961243	0.14512627932839733	0.2875193009891555	0.5119226138903588	0.2870455946535718	0.18356564757696422
metJ	0.34630257952034466	0.36968207639006706	0.8347848761022643	0.26046438668703026	0.0894866911041144	0.16874491513162013	0.14271354400105032	0.6766086200547291	0.22091652234956793	0.9056520449087642	0.4663433995960272	0.3829363112568934	0.6117892093539371	0.6871303304598955	0.7235708199465039	0.9486245794243752	0.8029050319296864	0.7991649156417007	0.5215957922117991	0.3139628820246977	0.3234575179568092	0.7432906792054905	0.8452787530398241	0.5527019585289165	0.9133804631963003	0.26787876090982665	0.47474108064624493	0.6713747122564722	0.2144693697101481	0.23372856089181435	0.9112810382040548	0.4435270908917916	0.9291396852806655	0.21048225299914075	0.6499995354778803	0.7774944206554518	0.4286789975654975	0.754896667143606	0.071303482913885	0.9972886316413673	0.6978283242313571	0.5960519406768506	0.580694648135843	0.16758554631736494	0.6720392019165139	0.2865358965250322	0.2891438994116264	0.9059011964135429	0.626519689625684	0.642572774588269	0.6709973390102397	0.6640715094773689	0.3200438375087709	0.6877645379174834	0.6088587152838077	0.8623238269278979	0.5957390854778826	0.05790870518249279	0.7776318710351645	0.9111397542387246	0.11804757129714506	0.3903870044247399	0.015333449060745925	0.4932116965314872	0.6491349736623925	0.173964847350496	0.13727417671881775	0.5845557765721702	0.6121569611293911	0.523554514800831	0.9502422035224735	0.344899523352107	0.4361518096544111	0.9394299293197239	0.6303349609828077	0.1684063812995535	0.2292217798089639	0.847623568336989	0.9006073385707928	0.39384148254824314	0.35397597373533557	0.09654206955390594	0.08156657628709085	0.3774769521867055	0.8882725055233018	0.9078922888310289	0.728240898554428	0.31700071016770975	0.01622971495589464	0.9686484053970255	0.7319236739269943	0.39617490661100047	0.448802817602499	0.8320497908249121	0.486156563461249	0.7781380902453409	0.6347795022376334	0.15767283889137987	0.5321603014814068	0.94014260980262
metC	0.36407873723495043	0.40119847137403436	0.12869552918096588	0.7111503587101128	0.928031994651762	0.6636996555314195	0.7330485216169531	0.12489994906126935	0.7004271001519888	0.024251530080184394	0.29744068543766533	0.4626264711679352	0.2038484326139279	0.16647729359221417	0.11668751003612639	0.023661125181891115	0.10049931162367413	0.1281994312838021	0.2285732574503596	0.3907344881639775	0.4445657165705965	0.20499330547386693	0.09960082232547118	0.22881486013745547	0.0558380791619543	0.7047564033406987	0.3068008803926912	0.17472860761271117	0.6499997641937117	0.49663206228758855	0.026488547657972622	0.38221782580034697	0.030343908675576778	0.6385410141059964	0.20775938320705412	0.05262257660568486	0.26121867491090617	0.1443028909519621	0.8465032543624376	0.0010642387339614369	0.1599782929476915	0.26987290968403316	0.21477446583105653	0.7629716968584448	0.10672976983614733	0.5208154278933262	0.4394286772105831	0.047191561989706365	0.14718742327051604	0.17996703140681836	0.16717691891840633	0.19790564510932643	0.4114024140283087	0.24913018431910558	0.13705359681488122	0.05764384075848995	0.28167046236966414	0.9514869303803978	0.13549721214630825	0.07718210628714249	0.6500004842720344	0.35084821957333395	0.9755657248743625	0.2845510705161102	0.15645521800215476	0.6921299104819083	0.9238509774422057	0.25974333359158946	0.17707819185149473	0.21009988231716997	0.02461101904078441	0.41268997249398726	0.30574731502870134	0.029634601335561596	0.27580515713783293	0.6630883268622572	0.5316907613659902	0.03844258272337945	0.07293637505224142	0.2549901033314795	0.3861219134934261	0.8255907333334948	0.8932602141156283	0.3195211458533403	0.09570838750309475	0.0241033336546832	0.07829202432482754	0.5230986768304943	0.9580990953937916	0.037837931512998	0.10501490944419473	0.3437026496861993	0.3867716839602719	0.06838423451152352	0.20276613691799514	0.05711653270901236	0.18220281326451512	0.5284578384657947	0.17161141870494676	0.03091864853596413
metF	0.35885043594546345	0.4254564816781054	0.10018445396080594	0.7464607025116675	0.8293762183576346	0.6903994896217871	0.7075432996939833	0.09911060115839683	0.5686053333261403	0.026788619842877785	0.2572650370565194	0.3325446881518586	0.1958281839320457	0.18111877289434286	0.10694660376957568	0.0292178362692561	0.09099586887653965	0.13083388623026082	0.1711972266931276	0.3895572027421413	0.4177358451216103	0.14265911975153547	0.10577049645149347	0.15466094816397435	0.04640447937180626	0.44753529612576615	0.33400180479789104	0.16001069504293683	0.6045207814398214	0.4664575714756295	0.026521307116915593	0.3320363533198894	0.0318202219054258	0.5923080925006361	0.18341759776329472	0.0529530726981938	0.3913929017529884	0.13254534599999868	0.597284576349149	9.703970507346314E-4	0.11132622876959415	0.21191510930844829	0.2115118183143466	0.7024182099110945	0.09431721032405767	0.4371408741751034	0.44177146556635516	0.06152198954899278	0.12314612942561161	0.26097711724732714	0.12177267164895982	0.1750241915111809	0.4323147692883647	0.19538605638007486	0.09806373096864662	0.06419646492762288	0.23644807093630182	0.8442190441648639	0.11171147489633254	0.04370702691801244	0.7820649340347059	0.32668421109701506	0.9548295898156702	0.40796455568086476	0.20623915503909065	0.7485218190855298	0.6849033871428537	0.27817737837931206	0.14280875999768847	0.19408486018773688	0.022585791895504127	0.36203194350542867	0.29482684579539203	0.025269110978247807	0.27812603550621445	0.5775043190425343	0.48703119949770546	0.03751886998815288	0.05227606412676682	0.30736298507208587	0.3835407637201135	0.8674609105592833	0.8490788487784754	0.3293714275352303	0.11535017744073434	0.025024621276223097	0.07849469721389747	0.4898983280668505	0.9413670902649481	0.04697924976205731	0.09506817374784211	0.3342038701826987	0.3157141017750092	0.05207403771596673	0.21272303661302297	0.049257261360926514	0.18851733368457793	0.6500001614450169	0.2473785889615264	0.02454716748917685
metR	0.36706946451161926	0.27626605765770523	0.260824543516622	0.3959403079756296	0.548500633582143	0.342927234584258	0.466955293927512	0.20318766093722776	0.4416772281079276	0.24457895644811867	0.3630748169140008	0.35731560655702876	0.3225742063408563	0.25451709276737416	0.2979461638192996	0.20417485258003104	0.23568817302826406	0.19844187871414287	0.3365004584515332	0.38630714415474526	0.3132015369777153	0.2857591029142624	0.2354090239073034	0.231995382370297	0.1736965179021701	0.25554584270349856	0.36982135195798266	0.1813399605634059	0.46253220486348295	0.4308995298653059	0.1834106291167995	0.34296771274158605	0.16780481963574373	0.4707176215466293	0.26734712600933686	0.1772054961845198	0.31967910315273446	0.2532027393022864	0.593200948021938	0.22199179952832565	0.2507342993009028	0.3366770582473517	0.3003849944890754	0.38265470880641955	0.28186027655982854	0.46905784739841405	0.32357397649621894	0.25828208193114605	0.35772104446417113	0.27613069880553465	0.2688492857950038	0.20850971207523988	0.320964281302261	0.418075420201139	0.2728849315892631	0.22145506024631548	0.29035447872306974	0.40200978088841144	0.18678211760514693	0.24818308955049212	0.4265340073518531	0.4296127784071391	0.45630291590819344	0.30585373146775974	0.2744035491418051	0.46926377483878184	0.42640201658379145	0.2605460110169828	0.2525137445681896	0.2760841694201093	0.21186143353132644	0.31843151595230396	0.35540567237496895	0.20730320554081028	0.33867262640126067	0.42269740130244293	0.303321654029966	0.2077122790346108	0.2104268479811282	0.3467514465263886	0.4242363946191633	0.40450762836809667	0.37811876534352695	0.3092072148834206	0.17803631962631103	0.25457643697164045	0.24051758716093213	0.2951323666185783	0.5874321197122148	0.15346143658686914	0.18937681686671898	0.27228877246560274	0.3253660822314796	0.2523694782871028	0.2710301684177475	0.21182443081045388	0.3064955590633592	0.41100472502886004	0.21470424085099035	0.1855850134422212
glyA	0.3360415345592835	0.4159073929238449	0.26415023181535496	0.5429986226158022	0.4430297193166818	0.400251804249901	0.521181439303831	0.16083755261967905	0.36606302502594423	0.24613232279765573	0.490266602491778	0.38957494117637015	0.4603965770857508	0.28225225749387994	0.24437354809101497	0.19007998125179154	0.3606992616776425	0.3450733038387376	0.3699558898872988	0.4746114406366818	0.5062143003707976	0.39586415562957483	0.29949177413275535	0.36734985619004	0.187363265048122	0.3636580765220748	0.5015975654589759	0.4722953060337331	0.3553337561200026	0.3811519227874433	0.2875009614954211	0.3813510917836798	0.2003413793326091	0.4066229166871073	0.41046169878643674	0.2105154805451678	0.2989210449751873	0.34335685643112945	0.9549352461880968	0.23987197099168464	0.3194906882816018	0.28894003026035114	0.25675087205425884	0.44188876790725623	0.39174350619536014	0.6019221977574011	0.5264409729791579	0.44311316949843427	0.4177267456729116	0.3093979778407568	0.3188823132485915	0.30837017596151667	0.5597073879372432	0.34815759742219327	0.2244958839632766	0.4208089714899206	0.4145284589848415	0.3609728719546585	0.2962867544150298	0.38889044530688555	0.4047452758190316	0.4948740872213056	0.6567790283881233	0.33527542878588	0.259999614589905	0.6346192997004259	0.6309265464554904	0.24212261288897596	0.2816891482486759	0.2802951879626282	0.21493404435031663	0.6226021955679281	0.4288361220512131	0.26705331479387634	0.3131266043199697	0.48847704333829006	0.4350316678413502	0.22960221667079633	0.21662073300314455	0.35563095227248553	0.32314825708664213	0.3830543762616523	0.5509281041294721	0.32814609502649317	0.2813176929748515	0.22908162840883703	0.304273426156441	0.4625894054604234	0.5240754810418243	0.31074417608042043	0.1670733295262075	0.4364002151115125	0.4011688235722038	0.3615733025783753	0.2959648429586147	0.2897216553498064	0.25846581929200163	0.6223646067228343	0.3023960585939958	0.33938986083139305
metH	0.6982041488039233	0.5992003559881922	0.5221383952782546	0.5773320252627694	0.6706171076987016	0.5434875362404705	0.729846025321803	0.36839918570524693	0.6182721447778103	0.39350105281509334	0.6135475367081775	0.5765481681520226	0.392405248923653	0.43691273447589307	0.44499654981765074	0.35896562229942547	0.37767005661765374	0.33501091569772606	0.4941130337961439	0.6769483067168308	0.5827546757284748	0.4228688081309895	0.4085975137558224	0.458409403347946	0.31170313035686426	0.5631634506650904	0.4442178830421341	0.39390399513814084	0.5956789321830996	0.618084053002336	0.31370734170167663	0.4126121104465061	0.2803302197798232	0.567449763292284	0.41524166886033903	0.31834743375640834	0.39537951566411367	0.43865202448759777	0.6968138375092462	0.4821136511460877	0.4555345655068231	0.41826435256883027	0.38456214943807465	0.5203508996279483	0.48332614515275263	0.6414186498980888	0.6545017755549294	0.33730396240322125	0.5018257063221607	0.4088153483229496	0.42224353196821	0.34817145405842426	0.5975890836038285	0.6584462087648055	0.3490598163864461	0.3411185678262517	0.4183876973287285	0.6874040541860758	0.295264790413832	0.4537116931666994	0.5650892718755599	0.5799896971753825	0.6930676182733364	0.4620150849061155	0.3711741888498908	0.5550028945997312	0.6060583577436229	0.5693179785122344	0.38518963860806377	0.44366308932607673	0.3219933530322149	0.38337758430872354	0.4238944068267124	0.3514087471158454	0.40574274132192606	0.4396538027384399	0.49314947826688993	0.2607382732199995	0.3256910245124768	0.5488364947090824	0.5208354892954696	0.6422918853886697	0.6659551249893939	0.6338532442108942	0.34712452701843016	0.3704159913291112	0.4600978056419576	0.4811647387897516	0.8212327773139213	0.28211196740700245	0.3902887232345324	0.4814447967175713	0.6297332937475423	0.34247963324893227	0.4697961170449066	0.3900787308219881	0.4427804743067629	0.5546037032212221	0.41815652485123417	0.2955000860225811
purR	0.5968627521682811	0.9178427074527398	0.94634728097281	0.014176684503299779	0.8772281762825991	0.9936363622409655	0.08381592934403247	0.9530650024468154	0.8749932872852174	0.4706138951619723	0.17122733332102602	0.46090949165453793	0.43147276582263916	0.5206133302969477	0.4968793073413168	0.9639665483587764	0.6613589899862162	0.16823904771343326	0.3585270379314041	0.06355055162304854	0.17804296984757537	0.32645004719588677	0.4175941117545845	0.6316280322158936	0.9615878251294312	0.469821959774672	0.027518876737970786	0.1578113673051624	0.19094391057016857	0.9173989723537919	0.22681480343180513	0.3595886925052407	0.9139459351198289	0.27803991281330137	0.21523397174569492	0.9906648676690174	0.725668282013911	0.07022902221674934	0.10154282777997442	0.9340438189071503	0.414883750860042	0.7389439174283724	0.9712032198528535	0.5210005544740763	0.30620186111264214	0.07697440506480915	0.18375439867795343	0.02360590457342535	0.20997757090906535	0.7470048330995868	0.27412100470624606	0.6143052043158396	0.08700487040575625	0.47004603354656654	0.9240597414746432	0.06235883903581015	0.8916544108427077	0.8831819240578558	0.23588443796164132	0.3669611471177721	0.633117636781656	0.41828311823637115	0.44680569782369817	0.561719785084293	0.8106370735362632	0.07291585622933548	0.13831982680117025	0.9886128768002881	0.37359595000740464	0.6480904701192116	0.6954011219071399	0.17713981690066757	0.4326512216153306	0.724051113726253	0.9518362683169141	0.40042200911926323	0.39316785274456334	0.5774105671484092	0.8033697835486722	0.7523866537281898	0.5824942825382756	0.7818835891361686	0.3368693514657992	0.6832175911353775	0.5806897866546858	0.9632122137153817	0.3304459485199466	0.6280323566326537	0.6257129912340882	0.13041379628908967	0.7095683673269093	0.3056897325238659	0.7579948250492617	1.6291966367057404E-4	0.4949260567459724	0.21713153188411377	0.8700846556995276	0.06481259328544094	0.6932379529171582	0.21177426311448594
gcvTHP	0.08989603188150784	0.051200194613274824	0.07260435690034987	0.8894102876408202	0.031130852444777025	0.029380077012422633	0.8039201517839449	0.016777017811786803	0.07330856272916307	0.1312533999381785	0.471530151873665	0.14534208759695252	0.15499890183001147	0.17520353718387005	0.2536408373427546	0.04485964534521124	0.13073393633589978	0.5125169812829887	0.19946752962468633	0.5635624532184472	0.5180072590849017	0.4888615974337088	0.21372649696989943	0.10183715887938963	0.0357531371464318	0.2531503262842296	0.5812921058771837	0.6309012564696711	0.5781037887787153	0.06350277160744493	0.3538486801714966	0.3470604149360313	0.08937987586620914	0.22853622397393472	0.35369491153635335	0.0533723675266236	0.1479601241317317	0.5547152636177554	0.46760197547880256	0.05327606382142295	0.21072416924134826	0.135900160209355	0.05404994112831849	0.15375467948923432	0.3509054039297323	0.5929524265799163	0.4960243104483202	0.787873708434409	0.4954413755660365	0.09196918093462773	0.3583523854082997	0.08668435946061988	0.7272386379052731	0.15895715343332775	0.07044488624571064	0.7072933179490208	0.11664579007782613	0.05814456077142306	0.42801053480560003	0.14171977864458646	0.11431384092825028	0.29939312420228276	0.10267653266683713	0.1314302442769843	0.10009606542488905	0.5848552521861854	0.5177661086470123	0.0501308922580344	0.3237816899099832	0.12517034246838601	0.1459405149714284	0.698197022158657	0.28211595558474223	0.08212912968388163	0.03742635525195188	0.26698699104347656	0.15365259318477645	0.16775769119685643	0.0881535022719707	0.05685319212304591	0.13515568972057945	0.14866490414304448	0.2560602046770376	0.09421988210649292	0.2254783791263855	0.023752281149525892	0.35466559871498643	0.11336172256600105	0.1455750255016981	0.40971786313673697	0.07512076019523474	0.338188106331529	0.048596478491439374	0.5253977313718232	0.22387569578659483	0.38864595275516445	0.08870037737605128	0.7527724180322077	0.12307259284257424	0.46648432464916534
codBA	0.30860388855584797	0.06141190081355539	0.038634966654075516	0.9990552524716567	0.06205231614428396	0.002675790353297287	0.9536635342692348	0.019911006920320395	0.09470783263911389	0.5809514579340317	0.7648984563974616	0.5358539591965064	0.45353145215235857	0.49532815578542616	0.4007903747845474	0.026686661020155517	0.22477898863179413	0.9666678362937107	0.46707795099658306	0.9807828047339492	0.936551479868249	0.556280772703398	0.41696137320555465	0.4956940324861035	0.023955424482568762	0.5092233444914027	0.9973306805644983	0.9616978719073433	0.7702677962378796	0.09450302079181994	0.9458188606481357	0.45915370509350417	0.09481671074913076	0.6717373953405458	0.8222527252061083	0.0058467106109749475	0.2410550258623744	0.972687325866009	0.854454598943294	0.07304450203416347	0.49958968626947836	0.18572000494919164	0.025180628750608273	0.299287264077848	0.6337846474372233	0.9780902996685039	0.8986714661061028	0.9982485801978667	0.8041714313696485	0.1844400314543137	0.9491861403404465	0.2877144224934645	0.9751066863705277	0.4271671040739393	0.026288904999173232	0.9849076865552076	0.15059044597721274	0.04071017743697084	0.7951202319835375	0.45258885190389037	0.23095126616177647	0.48647227910720214	0.4336229877198304	0.2624966670303945	0.1809014076972415	0.983440485044689	0.7858629805787212	0.006063894750573277	0.6473131144998996	0.2500642684952898	0.2865431376410747	0.9353645324335658	0.47443103462714525	0.21713589261686742	0.04910179550180467	0.6744936071295422	0.660387609189348	0.3936784345803672	0.05362570958975126	0.17047736481607298	0.2806383923977199	0.15900825498384238	0.48552178989373246	0.1466676984475283	0.27277157774545663	0.04475413987606742	0.689404586945037	0.3583348528404664	0.32493602763514307	0.945051812972624	0.2430248151578808	0.6078208291338643	0.20058357769981422	0.9999995	0.5459124987409251	0.8512712710659103	0.16605158485905278	0.9861613494650602	0.26436606400474294	0.8892530738411443
