GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99
metA	264.72039305197166	171.62874913230047	91.87224458634017	222.3973423892582	358.4185583027105	312.07722313492906	321.61498126051026	134.86374719925453	240.169314508572	81.07728058150126	167.36482539827358	204.6327328998734	100.68235858117426	171.56770211982834	113.96322211566614	105.49692090783154	117.94820567996649	104.22343266409821	122.91014806810358	175.839882612554	215.38397714075242	126.32959358357823	96.3417190575153	152.02596883341036	87.24495962951032	311.13088711682497	175.18948378087188	118.21936040367193	235.1063310028693	218.67053404195076	96.75580380851733	199.49018347922035	96.98886639643915	312.30852501680107	153.8282180777968	89.92615235934444	152.03532131061095	122.82722369962802	338.6182406896579	72.63333025549383	125.93912640918363	127.07739893292992	155.80180859605676	266.1246423574916	86.41653513770656	208.61946591987757	296.92125204160146	103.8031868484263	119.36147217905614	127.47077612763646	101.7946160672083	152.0850989313563	156.91090835378017	168.8460346679101	135.5020729556599	73.92999230757925	170.67491698006725	399.05119477227896	114.87374892633224	96.30350082709687	275.8199297312228	180.56734793106725	350.374807491701	181.13501816422522	145.20954258964446	207.55653077670948	437.6501202394793	163.1985806173768	118.39200052328795	148.76564412172294	80.88339718435677	260.64744729431254	198.95821727874826	88.90287682439912	116.65651703602732	340.15651223833834	294.4753529673067	131.91596357832012	106.45853204790991	158.35441257980153	165.53875494324288	381.71308002250316	373.03441513387094	177.44010001206067	101.98074052795089	66.96727637747772	112.89913519202597	278.30173237647875	412.2692020799028	107.82674965205604	76.47447360792454	215.4572457425962	139.28496021352748	91.83069690846297	203.3413731269858	86.63788513225876	171.64406258936972	305.6089691273445	171.3612680791084	109.58552484498087
metJ	1320.9372975129918	1410.1161002094073	3184.205210860871	993.5159117939285	341.33822530046837	643.6609639805654	544.3668464507464	2580.8573626191596	842.6644537635129	3454.5210906192992	1778.8212574928507	1460.6730819386166	2333.6100642707547	2620.991397217069	2759.9900779925993	3618.435617877391	3062.6026652928085	3048.336357751354	1989.5761016643673	1197.5806864491751	1233.7970459877167	2835.209551185614	3224.2330774206116	2108.227528771363	3484.0003858094415	1021.7973166341003	1810.8533899915894	2560.893133556709	818.0724209927357	891.5347208896434	3475.992334643813	1691.7906809353794	3544.1123961209487	802.863954511193	2479.35961368838	2965.676375482228	1635.1540821008525	2879.4794563164883	271.9801572197001	3804.059882387867	2661.797847463147	2273.5817930827684	2215.0029036782116	639.2386651041196	2563.4277643324212	1092.9631344949375	1102.911106264872	3455.4714546502273	2389.798039619309	2451.0309611199054	2559.453680241858	2533.0357813083374	1220.7758960099998	2623.4105194951912	2322.4319814429105	3289.2498435931507	2272.3884375449315	220.8870884883049	2966.200666503598	3475.453420785292	450.2809075901273	1489.0930218402061	58.487940782621074	1881.307746596863	2476.0618272564534	663.5718845632341	523.6189122946546	2229.730800216253	2335.012817426959	1997.0474572832518	3624.6058866853605	1315.585477074063	1663.65839246211	3583.363524918574	2404.351018816686	642.3696598099	874.3440455204078	3233.177145888407	3435.2785520102702	1502.2697905581822	1350.2067087635264	368.25027589884263	311.1277224596223	1439.8488910639326	3388.228538540563	3463.0662818117676	2777.8036357895667	1209.1681845934202	61.9066593235878	3694.81454235095	2791.8512220210155	1511.1704082771714	1711.9144241466238	3173.7724957487367	1854.3966319747801	2968.131590137969	2421.3042864532313	601.4276127681712	2029.8733883420334	3586.081974871707
metC	1464.3779688817374	1613.6789725515657	517.6322546531062	2860.3508289620145	3732.680512205852	2669.4971557413674	2948.4284452581464	502.3658758784998	2817.2203135509876	97.54320351363162	1196.3499711957008	1860.751378520197	819.9082318786216	669.5960409744373	469.3342441206607	95.168508599156	404.2229407495345	515.6368763002462	919.3550961748068	1571.5913005388297	1788.1083801001744	824.513078088532	400.60908528640886	920.3268575440445	224.58892702836707	2834.6334046265724	1233.9980452927402	702.7840336534584	2614.3941876214067	1997.5268431699915	106.54081562850851	1537.3360379864976	122.04764192422175	2568.3054176294822	835.6386475833517	211.65570511586296	1050.659743288328	580.4073480391967	3404.759985956272	4.2805239533612465	643.4561091677479	1085.4683422071907	863.8543366469097	3068.7838357305936	429.2827555897959	2094.795879190629	1767.4464559207695	189.8113694298125	592.0093592137516	723.8537408657369	672.4100364357716	796.0054707298206	1654.7207233885808	1002.0380648181479	551.2496259900945	231.85196446664807	1132.9198258361587	3827.0196966454705	544.9896190556802	310.43772810561745	2614.397083881813	1411.162890386041	3923.8681323491965	1144.5060534161414	629.2857860883369	2783.847802294835	3715.8638490420303	1044.725704566385	712.2344053544733	845.0524775671367	98.98912072911332	1659.8994719886953	1229.7604511955929	119.19470398620084	1109.3287097289917	2667.0383023579866	2138.5380621661047	154.6216942921941	293.3607756601086	1025.6075167623133	1553.0388501027626	3320.646765554726	3592.823321581052	1285.1608147540094	384.95314272166144	96.9471357997653	314.9019809043234	2103.9794405995003	3853.614792106857	152.1896986253643	422.38533610093754	1382.422362451634	1555.6523220228898	275.05140013956316	815.5550801813372	229.73105431316475	732.846382733542	2125.534773080633	690.24624362474	124.35932976345492
metF	166.5834412144807	197.50290846996654	46.50703865808066	346.5176020426243	385.0081556998982	320.4931951410449	328.4515939369933	46.0085410187736	263.9546274168954	12.43565572675325	119.42606413207474	154.37194151368362	90.90620910138774	84.07789272372227	49.646124116301756	13.563332305143536	42.241567670993014	60.734938048153815	79.47217083289509	180.83795610195472	193.9188799245958	66.22437848299319	49.10015848644965	71.79579676075625	21.54161479880904	207.75220600512762	155.04835564289448	74.27922482843019	280.62708574559696	216.53619350421826	12.311565383505142	154.13596530433193	14.771396476775664	274.95778303286266	85.14503969934313	24.581564321371715	181.6901135124794	61.52942184804643	277.26793712937194	0.45047201804242787	51.67920790456535	98.37398709279853	98.18677371675437	326.07245486665215	43.78338128567654	202.92696851192338	205.07655444395803	28.559376561521205	57.16617274802433	121.14926419067197	56.528594247681596	81.24870195823264	200.68662245360863	90.70096724660502	45.52256908939868	29.800905809888373	109.76253441442347	391.8984050980935	51.858044598291386	20.289419267594162	363.0455892339404	151.65142528417928	443.24538278972165	189.38290934439152	95.73912894674541	347.4744014699778	317.94182673655644	129.13386836595902	66.29384359896181	90.09693359441299	10.484643627628204	168.06034196337498	136.86278631822947	11.730278248364344	129.1100342790367	268.08566228675613	226.08676223950314	17.416789411550447	24.267287379606636	142.68223924644897	178.0450401242832	402.6876077753281	394.1543950456394	152.89886911237642	53.547181716950085	11.616782675208713	36.43834720314224	227.41772382017993	436.99590033723683	21.808431332733385	44.13198911453601	155.1421572487443	146.55894558147517	24.173503866041656	98.74903835974932	22.86591649438944	87.51240914899753	301.73925635117456	114.83663527792513	11.395141883112426
metR	1231.135965733307	926.5850542656245	874.794847608799	1327.9675934931652	1839.6486837414586	1150.1639143094094	1566.1489508766545	681.4831015864229	1481.3673523417017	820.3078132511556	1217.738081127456	1198.4219252218547	1081.9006903025418	853.6399158581503	999.2992433141942	684.7941019665376	790.4884894174731	665.5659421785947	1128.6087701046442	1295.658356168097	1050.4651407309038	958.4243396587344	789.5522346868468	778.1030206370721	582.5710144441389	857.0903010537527	1240.3656836379976	608.206808406973	1551.3140911216678	1445.2193933934786	615.1517460159555	1150.2996763929689	562.8104995108231	1578.7676437797259	896.6713224251604	594.3399840371982	1072.1906326595063	849.2316281115552	1989.5717095089087	744.5514130705601	840.9525813403905	1129.2010785944353	1007.4789815985793	1283.4082374451405	945.347835582105	1573.2008291944244	1085.2538784991448	866.2675354730992	1199.7817473743694	926.1310662135012	901.7095048870912	699.3330433575156	1076.5010675913845	1402.207854264039	915.24489576708	742.7512114787884	973.8370421067868	1348.3243573169054	626.4595804651731	832.395928217421	1430.5776094938535	1440.9036816487912	1530.4213108300526	1025.8209016777987	920.3382769057588	1573.8915014041258	1430.1349178580303	873.8606610008566	846.9207679628474	925.9750085584827	710.5745799892765	1068.0062762329044	1192.0160841180577	695.286469803911	1135.8941325361957	1417.7097897745991	1017.3284175485693	696.6584855653313	705.7630387483829	1162.9901646999394	1422.8715103926802	1356.7020355671195	1268.1948686536778	1037.0683478498831	597.1265318687493	853.8389538912573	806.6861468283369	989.8618826263561	1970.2232953832877	514.7033796084538	635.1620956292528	913.2454024575104	1091.264527813197	846.4369047585767	909.024095975388	710.4504743773949	1027.9735651737774	1378.4930319458401	720.1092394291312	622.4445420809049
glyA	1085.082118944227	1342.9699271854706	852.9442458168771	1753.3490221215695	1430.5482422637945	1292.4178448248142	1682.901077260837	519.3463737488565	1182.0218693597556	794.7642029197684	1583.0767008520347	1257.9421267481835	1486.6260329219608	911.3959024140216	789.085098436657	613.7705242182985	1164.702213600167	1114.2458095588956	1194.5919763795976	1532.5259966945227	1634.57200731629	1278.250075152026	967.0625070455544	1186.1770625208978	604.9982152276436	1174.2562619863907	1619.664515278756	1525.047170465427	1147.3769322258677	1230.7441000121446	928.3440301720162	1231.387219074042	646.9047008832947	1312.9902427947925	1325.3857159316724	679.7569949205624	965.2196157956695	1108.7033804286798	3083.497287760143	774.5494523477345	1031.639239114327	932.9908003601261	829.0516249867446	1426.8640965686038	1264.9444490324215	1943.6139483137092	1699.8841741645188	1430.8177038949618	1348.844638889348	999.0497568486737	1029.6747888840976	995.7309723346006	1807.3018244253349	1124.205030288474	724.8998841307067	1358.7971827764331	1338.5173330667697	1165.585704444651	956.7134601899962	1255.7318814300177	1306.9273180601463	1597.9543239407276	2120.747308025967	1082.608354273945	839.541853342315	2049.1932800656705	2037.2693358395265	781.8168018499332	909.5776159519495	905.0765015796072	694.0245900934898	2010.3899076409925	1384.7169475803728	862.3183353440429	1011.0895361757204	1577.2981930232645	1404.7224387551312	741.3882932839872	699.470927849952	1148.3365821432542	1043.4495723648354	1236.887144947631	1778.953412407033	1059.5876506206253	908.3781824469721	739.7073075834394	982.502518402244	1493.7067018707896	1692.2459725146134	1003.3966470041688	539.4817716777862	1409.1414941963897	1295.37891114259	1167.5245020826158	955.674004261736	935.5146770868479	834.589210050591	2009.6227304293723	976.4404761747354	1095.8939043713533
metH	3978.165281414366	3414.0703072115007	2974.993545580735	3289.4708842441714	3820.9823008638396	3096.634775455122	4158.451541268114	2099.0319991431447	3522.7358431400667	2242.055177114996	3495.8163929719444	3285.004693161084	2235.8116035074277	2489.402382207736	2535.4616237476716	2045.2822835544466	2151.8547399638505	1908.7952943370422	2815.3131423086975	3857.0556415433425	3320.367578073433	2409.3841521589115	2328.070444840799	2611.8841834393093	1775.99427533921	3208.7424445060615	2531.0250056933996	2244.351025918968	3394.0062529566476	3521.664150609747	1787.4136918554364	2350.9444555454306	1597.2405056168363	3233.164614021955	2365.926918776681	1813.8515942172628	2252.7581150754772	2499.3123535975187	3970.2436898106525	2746.944130840298	2595.5041889794607	2383.1492962237585	2191.1238912879335	2964.8089124058833	2753.852570971312	3654.6179340919934	3729.1617997358526	1921.8604111916031	2859.257719439154	2329.31160319473	2405.8215094471393	1983.7802351755336	3404.8897432326726	3751.6360392219226	1988.8418667580831	1943.594929501457	2383.8520789876707	3916.629466254412	1682.3333692023966	2585.1179896588847	3219.7152167114764	3304.6135300595242	3948.8988162140217	2632.4283139992867	2114.843164380059	3162.245956520619	3453.1452175082527	3243.809163956166	2194.6991430746643	2527.8639515757077	1834.6249876534084	2184.3745818213088	2415.227716868428	2002.225394616162	2311.804777267325	2505.020196302268	2809.8230816154755	1485.6112611714498	1855.693250180999	3127.1115936006627	2967.5699641618316	3659.593377330305	3794.419671884202	3611.512440811597	1977.8151477296726	2110.523174218461	2621.504211333162	2741.537502710763	4679.146820118952	1607.3923882185502	2223.7522523447265	2743.133191775553	3588.0381547843217	1951.3498865860245	2676.762384430027	2222.555776319233	2522.8350664957434	3159.97147951365	2382.5349250785143	1683.67401552081
purR	10643.314828848674	16367.060707497614	16875.357043521333	252.80002119371366	15642.818425164642	17718.620554396417	1494.6138294613468	16995.14810825207	15602.965666519121	8392.032893396963	3053.342513365738	8218.983023254143	7694.064456261598	9283.627698857536	8860.400285931826	17189.545538550145	11793.418034114595	3000.0551128627158	6393.289119644434	1133.239636773988	3174.879608866401	5821.2890912963485	7446.578942866149	11263.252694489696	17147.12791384724	8377.911024306417	490.71929483702223	2814.107698458554	3404.9304424961747	16359.147979920703	4044.583703704636	6412.2206475841185	16297.573083073325	4958.034851910576	3838.0731832082492	17665.632573279207	12940.187603809813	1252.33077597767	1810.7216118742128	16655.96050759427	7398.247522961624	13176.92002974161	17318.590570669523	9290.532718163147	5460.221461570438	1372.615101029294	3276.726364998266	420.9427934345081	3744.3405306551567	13320.663064444076	4888.1525002020935	10954.350337295431	1551.479337599137	8381.906729668324	16477.92346473351	1111.988901650373	15900.068447318416	15748.986236363135	4206.314311508467	6543.686977519288	11289.815468437817	7458.865373671443	7967.4827956432255	10016.642011126427	14455.359384112546	1300.2426622277778	2466.5326465230733	17629.04127190805	6661.999429963639	11556.812493319268	12400.46065180744	3158.77449740213	7715.078794931468	12911.350101127251	16973.23720136773	7140.3643332979245	7011.007509081389	10296.441567745695	14325.76836002957	13416.632214964067	10387.094876564262	13942.624444991547	6007.087141584096	12183.202742414107	10354.916929914658	17176.094169593394	5892.544393562205	11199.134256681675	11157.77510660841	2325.551539089462	12653.092354342729	5451.089134610181	13516.637673115792	2.905199337631257	8825.569730749141	3871.9106607296667	15515.43446917847	1155.7444868273192	12361.886811331151	3776.3793213542926
gcvTHP	147.74573190159234	84.1484331211992	119.32655563291024	1461.761672434063	51.16411128398418	48.28668063176719	1321.257109238334	27.5733280307157	120.4839304737098	215.71730400736047	774.9682154388225	238.87231347899308	254.74345992271614	287.9501385233395	416.86324044573	73.72762730072714	214.8635563111766	842.3308006682594	327.82844290443137	926.2249443086295	851.3541701675483	803.452755363304	351.2633100780599	167.37118712032068	58.76091864032756	416.0570767716412	955.36394470276	1036.8974685958328	950.1238886803932	104.36793785612684	581.5566175741787	570.3999825752287	146.89742028360865	375.6033605750393	581.3038960795003	87.7184380500324	243.17510322265946	911.6844303897358	768.5121874657247	87.56016119273508	346.3289309027041	223.3543373987914	88.83204235051547	252.6985583120562	576.7192905706773	974.5278897665788	815.2248019664257	1294.8844933678183	814.2667380893961	151.15298934981902	588.9585374648984	142.46729099023258	1195.2296733859955	261.248917037369	115.77742709284044	1162.4491842668301	191.70943664125224	95.56162277100081	703.4429485140992	232.91898410349364	187.87683661819992	492.05793999756975	168.75071291216994	216.00795083261696	164.509668971407	961.2200392185871	850.9578351213994	82.39101562687273	532.140982764839	205.7196905503107	239.85583954328507	1147.4992598818235	463.66260519624757	134.9806895990697	61.51088244247746	438.7978821124878	252.53077764973355	275.71275782974124	144.8818534062589	93.43923536283647	222.13078687113006	244.33342174263896	420.8395138146547	154.85205687225766	370.5777380243335	39.03729774629776	582.899237772042	186.3120131066029	239.2551510804305	673.378616334075	123.46230933394564	555.8181851255168	79.86917923164363	863.5005431973267	367.9436993678111	638.7465557555411	145.78065239460184	1237.194896478833	202.2720016220566	766.6753083913198
codBA	1573.9606237618768	313.2167717109424	197.04844452361218	5095.443339069585	316.48305755762186	13.647231320514098	4863.933692739973	101.55134797131079	483.03474085621775	2963.0045278568887	3901.1823771234567	2732.9954778245515	2313.1291399660136	2526.3032708214255	2044.1358378395212	136.10895773856825	1146.4316888911676	4930.259037575437	2382.2198305286715	5002.2490719024245	4776.657735379674	2837.1775744249203	2126.612163334606	2528.16933778096	122.17893636243348	2597.1723709656058	5086.647570852225	4904.910918074263	3928.567415996304	481.9901468155232	4823.923803546244	2341.8041018649174	483.5900477214621	3426.03657627939	4193.704163326183	29.81975477778187	1229.4437398141088	4960.960010289293	4357.9421497976655	372.54608333705966	2548.03819195365	947.2206465149195	128.42779888643955	1526.4433998429881	3232.4676259886674	4988.516591174063	4583.459748250661	5091.3290992874245	4101.4848310992475	940.6924465955198	4841.097811526804	1467.4188780066172	4973.29938224801	2178.664062611441	134.08029789951044	5023.287049079944	768.0506988815175	207.6325628040667	4055.321344636963	2308.3216319272137	1177.9119201889152	2481.1359813046142	2211.590759348063	1338.801723166894	922.6445390270057	5015.803937264707	4008.10693893511	30.927450748280023	3301.466349744731	1275.3932358508685	1461.4450186184627	4770.603992721378	2419.722482072994	1107.4498982616924	250.43201185024105	3440.0939779762048	3368.1496955479106	2007.8630809008062	273.5051580540387	869.4791913311507	1431.3292720221468	810.9837285876075	2476.2882374789856	748.0436595095391	1391.2064577729845	228.25782994796455	3516.14387871182	1827.601561120099	1657.2588088006598	4820.011659588974	1239.490180909661	3100.0453553451152	1023.0287588085733	5100.259248667004	2784.2966628146482	4341.706344231597	846.9065548864751	5029.681058127635	1348.3361371419517	4535.423481975598
