GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99
PYC1	0.908011479147866	0.8152044250184598	0.08954615525104602	0.648936050026668	0.16436534427188712	0.5009523886772217	0.18507850305079268	0.6042601157414524	0.15237086842247527	0.604154280133774	0.6162753250826595	0.9322323085376863	0.6939759296052521	0.4601305225408891	0.543207064232302	0.14425122577014482	0.885057473976794	0.16516737096049855	0.9535827993777419	0.8670935643785932	0.9318353970579294	0.8181929732082935	0.09141381485923895	0.730429821323053	0.3744388670626389	0.5664990264982419	0.9865395557533174	0.9693182091947273	0.9747682247473425	0.23931231185034332	0.32851502349468026	0.9129805086599599	0.34037364799236985	0.4512459133328406	0.53519151039974	0.7012881279414406	0.9857486964810115	0.8946295676146399	0.4801198999586764	0.019085254372632202	0.2688955908414586	0.6095324808910465	0.4579896996378383	0.3612978904017197	0.7976590625700327	0.12596707520484005	0.0453891284406739	0.036145699820670125	0.985888880687242	0.9323322878274334	0.5463506369798545	0.4696342699651257	0.7304841660956557	0.37002808767688317	0.35146566048692324	0.7697422632287311	0.8080905562249634	0.42752129677901396	0.6605285702032122	0.5252517072158737	0.14574344904085504	0.7983060783484877	0.4840480338283898	0.8360597329985451	0.8299986207511454	0.8115132079993859	0.8362667787134194	0.6342573206182256	0.4624106365610083	0.8376981094555414	0.6587622710690679	0.700693038209918	0.6416831777313702	0.45065503747928104	0.7428242922877012	0.8344163527306331	0.051454913112603355	0.6837558055809196	0.07385283282056841	0.6447309102840347	0.24403009446186805	0.5824100904040347	0.6111852130397365	0.7869769331530816	0.9370744837301357	0.8735196056593556	0.9212071545022508	0.7158273479662601	0.6949568426084972	0.6202078628817601	0.25000086961268647	0.9579534123132823	0.9831982819066643	0.8491637771504343	0.49732409960879753	0.7218066523864072	0.7957029264624427	0.23653273700117766	0.9683209581688142	0.819753439480012
RGT1	0.727701382018714	0.7680466292405492	0.05679226764358858	0.5101710103081682	0.08902567424257715	0.2556754657885172	0.1413343882061176	0.286031032804983	0.05383179511418478	0.25602973401592694	0.500991397769963	0.9283158424657882	0.6129128536829433	0.41921729855094225	0.3191459417834845	0.06728552061910939	0.7806824934087051	0.08985673840237918	0.8996026408416731	0.7272569819633524	0.8632038139238039	0.7505249394481425	0.04522961518283287	0.6901017031569424	0.1822222661061069	0.4680423647827369	0.8592846930071802	0.9761736322362345	0.8030619327841751	0.1845024294869009	0.24775602530656543	0.9018144442106406	0.20760033809058556	0.32974059306615094	0.3719347565351534	0.3105692442260587	0.981579384325003	0.5481650220418524	0.47153797147788046	0.008646972752771927	0.15968676549081026	0.19514243783436486	0.26106301183645375	0.1671965005155008	0.6277761010545363	0.074211370453427	0.03399806021309988	0.02349314143121057	0.9376674620332699	0.8868405191485521	0.4743617419281449	0.32485754573796793	0.5578255953388055	0.18891241624403204	0.171253959468873	0.7370682154732523	0.553534222510537	0.321496268230196	0.4235269761978877	0.31063680884198236	0.06062760791914035	0.6690218422700964	0.5194644852057441	0.9329373657724201	0.7967926988804547	0.9313594093138384	0.690608515875597	0.5274824704164662	0.2493614801365907	0.5794122520370291	0.6706885969250023	0.4227942891224505	0.4048400708971201	0.549629310402194	0.7262201595515317	0.6222337706030828	0.013024942303375121	0.43704795517907225	0.03613372422427968	0.4689771481395367	0.17689214409651846	0.3735086253010423	0.7479439689885046	0.49765519635623234	0.8673619550993452	0.5749351309103384	0.9152824426238759	0.5934531191853076	0.5876966200198925	0.29394524027161295	0.12274206225055556	0.9101048123850073	0.9713585122871732	0.824758731137255	0.3859592696584179	0.5844324261819255	0.538919441444349	0.07977600731163006	0.9210304927925745	0.8954933663777743
HXT2	0.07152538943367702	0.08948633943490573	0.31218090482492394	0.10494580977560883	0.2873549248326018	0.17860394852456238	0.24410003211007977	0.20053748903650548	0.3543361690957827	0.1481890871906321	0.10677121369433075	0.08198842427761244	0.10179448361835193	0.14715979150935457	0.13946320048871294	0.28038555138704063	0.07378248724553142	0.37072782399781096	0.08185853366700363	0.07986235275659702	0.08944593222459157	0.08925904322282209	0.2543322626899129	0.10888537205890848	0.25868686549240644	0.15513721483713647	0.06961507374185523	0.06358003772451326	0.0645515926689245	0.20483409374120734	0.2635895741005944	0.0851322817425931	0.1643857190868419	0.17335575013726667	0.14131650558389003	0.1316908291666835	0.08195904264404721	0.08317624053574293	0.17480072435106894	0.42753147191035895	0.28354536539550806	0.18002629830774064	0.21231779399747672	0.24990594720095158	0.07122287219290199	0.2917490920931066	0.33804878581788844	0.3456914553340683	0.07628765831642265	0.0636924919707901	0.129230338071605	0.1358923706322382	0.09253753245789793	0.21933407742025302	0.20771286315919862	0.11441785198510222	0.09452580157915551	0.14496489858281686	0.12475482980953559	0.1340847733233313	0.3212862904799142	0.08516551164652983	0.10283483846099252	0.08784724012572917	0.08800357447813409	0.06931501153007816	0.09506106557227258	0.09552138995521484	0.19616781558087198	0.07037785841307222	0.09786109063602202	0.1639070213539041	0.1395920492868418	0.134471502897403	0.07994584509939932	0.08994191158241435	0.36768095565426384	0.13342604219246024	0.39195916463556857	0.1420661690342946	0.18114691469857686	0.13453298091210272	0.09188140126826085	0.0950432270472141	0.09057297261313263	0.11822733782929716	0.09749216339521329	0.09358686187373048	0.10243601755369829	0.14384528232863425	0.27497627672766184	0.06562844994043658	0.08475625677167098	0.0972140200644711	0.1275107319768492	0.11132281701823235	0.09516024718459089	0.36354409874157806	0.07230874045444054	0.06608521658761882
HXT4	0.05318706043943037	0.07528140454290623	0.25820056438080846	0.09595573595127484	0.22146683545171547	0.20267329604519743	0.14304894849063948	0.17922944850334907	0.2911033448573239	0.13945691106895802	0.1187708388065287	0.09177621085555943	0.07719333431386051	0.13874309282994776	0.11538724063220578	0.3334675414245216	0.07559818030600718	0.2141973898944311	0.0806778657170689	0.0689539047522893	0.05599316574804449	0.08853416505464214	0.353856870421051	0.0897167464347263	0.2781760265614088	0.13139921423528986	0.08667407764291535	0.08005171305227303	0.09508492671936708	0.21449546028008043	0.22275671318795795	0.0793824868931279	0.16553569023145084	0.16474581275435118	0.13027461078675476	0.14220566443717464	0.10031492817016939	0.09236811484837677	0.09260314686393015	0.36311081803867223	0.2138730924049142	0.23030681890276777	0.19297199133089127	0.23660082665331952	0.08788399080789759	0.19968105777063508	0.3133763569299366	0.3034705707636495	0.08816538750285635	0.07997830714564123	0.10959867558242774	0.13653176705068112	0.11267391077425568	0.2277797694929841	0.19344891820264165	0.07458346935843134	0.08910347053170307	0.13444133598811953	0.1288147033336119	0.13702288981942956	0.27655181952352126	0.08782748186484626	0.07611878470217245	0.06898330893246613	0.09120225809673925	0.09421787792178092	0.07237106971660165	0.11411236038830568	0.16343257657764526	0.10125803399303246	0.09969454585154416	0.12741853434331232	0.10126048636774795	0.10322446773677015	0.06929212306918092	0.10620574827823731	0.3255161331812537	0.10425451643593409	0.26206144722846164	0.12897321039802143	0.23238758740483823	0.11964615761600558	0.08819030182288064	0.11914316084338077	0.08074350515676054	0.13983888309255568	0.08239999361283633	0.0872746191641591	0.09777969202386076	0.12783761325123622	0.1906854398535419	0.07203115907022002	0.06247910845885414	0.06795506776116488	0.14203266711025456	0.09500053553946029	0.07667312944897008	0.1704994558201982	0.10297680979394806	0.059786992213369576
HXT1	0.05144933879880426	0.11371024606377216	0.9024519235995859	0.17197635473702402	0.6849588700070779	0.4037606773982889	0.6229896097685693	0.40019641279810164	0.8289378750621268	0.4663896510923534	0.22877157904697307	0.017050438512620905	0.11908691858211351	0.3213914179067716	0.31188711588728313	0.727676633171862	0.08932920031006637	0.7487375763849595	0.018278410370364293	0.05384326316273433	0.03646745580706001	0.08494737980603885	0.6561144896679658	0.08009892063352828	0.6301541250030361	0.24948326813376684	0.025662652004003004	0.0087970275068756	0.06161299526146244	0.4372898942193242	0.47053415974110024	0.03309467868615814	0.4824044859522913	0.31828483425670623	0.203495229408746	0.24272982683086974	0.006416949055456299	0.14606770158779742	0.22257414154124924	0.9753529293738816	0.5143425279854175	0.5229490793978722	0.33994437701999974	0.5121798153504961	0.06705145406810555	0.8814772165383484	0.896837938049887	0.9652142242229675	0.01628345818349671	0.022629391234080264	0.24665047313719984	0.3144116570262579	0.1529030550918562	0.4766856275840707	0.6500000139632672	0.09047737771535928	0.1566857518121333	0.361856890166428	0.2592308522769246	0.3026690867793964	0.8504409841455317	0.07019294258573912	0.08385525418239591	0.015257977817813802	0.03411200583079257	0.02225039928962867	0.08773299641651897	0.3079171823705437	0.36105899223692667	0.10197741799809124	0.08336265418900204	0.24422083382169246	0.2278766179641931	0.2198276113130135	0.06976551159432581	0.11750773329202258	0.9761802796569901	0.15680721575826168	0.8931718296200507	0.20315348918546525	0.5383478950917169	0.31351597637274875	0.09997979611899174	0.21422666532627074	0.04625116808253204	0.13707725443418153	0.02930075631926943	0.13814588942365655	0.16399015271118858	0.30776358876430576	0.6262144781403399	0.0290057296953747	0.007559577276362269	0.05592610500021126	0.2774783659808356	0.15933880021271335	0.1068464633118059	0.7568745991126173	0.02909440562139991	0.021129068173138216
HXT3	0.222758235606249	0.2539053050477438	0.9922263488683195	0.4781857374372995	0.9691115938914059	0.7953374906681867	0.9575611427932209	0.8861400243079927	0.9926292968582232	0.8848823867368899	0.6107201425822394	0.0599019525513899	0.459227067940314	0.7268109426446394	0.7324663073198107	0.9840129525044311	0.25960665520398	0.9855198598632715	0.05989819181420378	0.16492307298257605	0.10439828074660934	0.2623232168120413	0.9935512066688549	0.2053054497909965	0.952365192581697	0.714063965686941	0.14186547448186387	0.03226544271879221	0.20191381857263854	0.7956283684579084	0.8716430295675	0.10475241018789219	0.9428766239032448	0.8331417737603681	0.7635468788253333	0.6307980726822527	0.01975463682756895	0.44638173978214185	0.5490571796244077	0.9998070716479925	0.7229250558957853	0.9610600024212619	0.9248761686263445	0.8726210510867954	0.27936810920038696	0.9797952544518719	0.9979609302635347	0.9986299214057972	0.04518133297571938	0.11033941480070986	0.7229259962861861	0.6871945272802754	0.3766502133700741	0.8871698837043452	0.943951916690124	0.3395777908553637	0.4529519792204096	0.8311388767263022	0.7541310381707359	0.7678850579232115	0.9921669569893604	0.22161447975224277	0.30086797222495004	0.05082121946296778	0.13245536530848775	0.06745862919679452	0.25134709216842216	0.8251122040559253	0.8576737172898747	0.37561251117281563	0.2745738991062684	0.6623721938218053	0.597482287447575	0.660523122044124	0.30084425172875195	0.4926916563252199	0.9993275453096669	0.41456004693529336	0.9959617259826129	0.7980936231419362	0.9586881503563722	0.7103959365788051	0.31186460486167394	0.6933129689981039	0.17027803576255376	0.32826469508070666	0.12352312647596622	0.400408735981196	0.42002702333847797	0.727556819285903	0.9313642823656219	0.10146870451312873	0.019131971975190024	0.21446419330868652	0.5948311034155817	0.6556718836676612	0.30127673470207306	0.9760240487557043	0.09001444540205289	0.0574535029350734
MIG1	0.1244953977936747	0.7680683391771923	0.037998824559253186	0.6851183674612034	0.1932457599214504	0.30229444499487224	0.13332168248041087	0.2821137296478356	0.057499015105479764	0.23259873000774	0.4122496083541172	0.9306959452232557	0.6336533552309637	0.3809246252201852	0.3260854933459168	0.1036581384936772	0.8405186923359802	0.06658790953361936	0.8603199517137562	0.7448441436528794	0.8798645077150395	0.7760392253054462	0.0491346453934286	0.7430459212507498	0.1827850227689911	0.4233828851404239	0.9031279419544513	0.7650411165248724	0.8158257374900169	0.1779811551782964	0.203836249495364	0.8953669072319627	0.17831474227876226	0.38347489987347844	0.39414316395150567	0.26150105769458154	0.9201265874469823	0.7093277642413108	0.35790516358022945	0.0074638705709791425	0.15728361030675894	0.24772736287568733	0.2716205530087983	0.15610620396034125	0.6784530092384247	0.07999025938696132	0.027952374576110346	0.02304166153231546	0.7315221590177964	0.8618441213521191	0.5273583576621955	0.282949558282509	0.5032980860718299	0.1644208160419977	0.15901646666241087	0.6616304631690954	0.5226360885058257	0.3664987302875539	0.6487184153907881	0.3682305431921842	0.0671510980393958	0.7126499841524164	0.6588264161097479	0.8348775082339629	0.7607905167957049	0.6851614290832224	0.5724443619970089	0.471738014440905	0.2744818837679146	0.7012791063572724	0.6939878635080258	0.4669302337423145	0.458934995743283	0.5366815623049387	0.6963225175310865	0.527873405868087	0.01643772261080021	0.5696102407911205	0.04357922579149961	0.4292935865881823	0.1373844725444544	0.4477063695073057	0.8565660422730614	0.5653796241908661	0.8776095763052898	0.80687355709105	0.9187996743543086	0.6500003367754604	0.6323627495586766	0.2938902006600732	0.09303719481982459	0.7308201535678872	0.9615100569703746	0.8145543809751039	0.4088221320951445	0.5234948463252563	0.6230992253889186	0.09767467718346556	0.8505498019053624	0.7966390640015096
GAL1	0.7425445943057732	0.1465766079034755	0.9797739614856849	0.34401193256918566	0.9321446143099521	0.8210952512767837	0.9228094177511039	0.7335242603090346	0.9572323776244873	0.7261323695677434	0.6237643277686274	0.03291960468446123	0.34860675959654097	0.6139039243205743	0.6752946032591808	0.8328887707409754	0.21159578201079557	0.9530502883085246	0.09807504238188473	0.28534261880252226	0.044111188825938036	0.29846752981286423	0.9167098963344011	0.26913035328456825	0.8992509198983533	0.5908821248524816	0.12140046806479582	0.027401343585361518	0.09876068616623657	0.8342454817900311	0.6393068249680895	0.025687560170002864	0.7889778124662513	0.8519142195385236	0.6431811109064639	0.7912368769225391	0.010259790848255214	0.1775731700165951	0.7338625608977026	0.9959364978260026	0.9229771076958244	0.712625876199806	0.8165867506299347	0.7448639434675384	0.29615329507509564	0.9716659819319621	0.9780087494933625	0.9883896613377572	0.025356390163047124	0.09670073501766505	0.5249725662104586	0.6924446875183821	0.48887763263378253	0.8070814546481323	0.9554902859457273	0.24723330007160962	0.39812775322400573	0.7278496782944293	0.27758749467656674	0.7605210552575372	0.961669769854299	0.2643389262775256	0.31105948078378864	0.13185546744820034	0.21233970144753822	0.15734756044549475	0.42536488878867384	0.48082330717284655	0.6499996941749239	0.16949185376965836	0.302636290449554	0.6378809247749627	0.4904124644756543	0.4311897637864947	0.23449627665595588	0.31307818917466096	0.9875008207394501	0.35127005973578707	0.9841654239378154	0.5296481936262996	0.8609756104000111	0.5744368060101853	0.22852911138165988	0.37341426392736465	0.04903202729289351	0.3036838108294051	0.09143428646747112	0.30372821405969497	0.48286408093859007	0.7343756673697406	0.9546862411516839	0.06453679691833919	0.015999970284764613	0.11354548089227336	0.6997068549774237	0.37018110652003644	0.3217123785422974	0.923095219811309	0.11697688181849715	0.029362567087712264
CAT8	0.20331712335928845	0.05750657103051794	0.4718647058264371	0.1151405585491106	0.4541177068906856	0.43527594359213295	0.2592066513388358	0.4349884018623716	0.3632478879896011	0.4137794854185123	0.29474316962289526	0.033922472011752414	0.132117644699932	0.24269751955324675	0.36584579593926286	0.39891877024356537	0.05380208048377031	0.3931092049232751	0.027305967832851403	0.2267907560022328	0.16761340890482374	0.1852988503227262	0.49564210492773164	0.1287853811009541	0.6773634199885477	0.1514120659887324	0.09979520049455372	0.13637472228430417	0.25673032159500486	0.24499163146712674	0.23688349769197878	0.07393499422809065	0.38780876521094	0.16900476927109725	0.35975145416741766	0.34277728116809436	0.18925641000139795	0.16803519203847808	0.312328946601326	0.5132151286690314	0.2739936146246958	0.41096515860192345	0.2582240090109416	0.5421182092777762	0.31633880287965366	0.8356388946282904	0.6000148731831554	0.5860961863879103	0.11214127726457798	0.28044916157570066	0.1164889788814688	0.5197629106184473	0.19579035551091994	0.32293789130985256	0.396684928165639	0.08666767393778654	0.08847839557534257	0.1812990298947417	0.1251462468546734	0.1308856420782908	0.23083927146804473	0.3763453607378027	0.15199148785027533	0.06885751967974393	0.22149869328209404	0.038963892321396916	0.4049658294504112	0.24823809123089927	0.3992681163288113	0.18601201311103335	0.03196533002865069	0.10108210416946802	0.45087744856384737	0.44197762397830154	0.2864099673280226	0.23408300577366092	0.6288205860068801	0.11473868672454876	0.3198204068885837	0.23398088584436094	0.4031418606464505	0.16981526700453303	0.18040872908351308	0.20136520015495252	0.2322220106430401	0.09544848533171621	0.11079643695009532	0.3057055146590524	0.13467997094978434	0.16234695233243207	0.4529791859225559	0.1762969759866277	0.13366330021752162	0.090179377610844	0.14656055679766558	0.333017467368249	0.33593053130491296	0.22769739928642008	0.30676610262897125	0.07159239621239352
JEN1	0.31308552379761334	0.179279015133877	0.27783644306592126	0.22640103832934216	0.36512623061870186	0.4383207002360841	0.24267258786494225	0.3538882783691903	0.29811144435844167	0.31931243799092723	0.32281267288326904	0.12659592326694505	0.21276346596246884	0.27713501518896116	0.31829837086546153	0.32790652372498186	0.21539933027600255	0.29917968556030866	0.16227139024277346	0.2918493777538468	0.20922116174207028	0.23281637093270535	0.297787577504046	0.25011211590797744	0.2743121682119628	0.26986955580214683	0.16602542369355763	0.21793565070258716	0.20418808870102842	0.3260159672402364	0.21219158587178263	0.18185282484965615	0.4309798640225397	0.24115844530827316	0.2635442897507356	0.34153000513778686	0.2686207496165554	0.176011081499616	0.3543612846808068	0.3596184793941711	0.25186392868925117	0.37697604093510917	0.24834875239093732	0.3762320091968886	0.32194887374165165	0.34022327483387976	0.45104033540422367	0.2595238121715963	0.22955614497135687	0.23313131643318558	0.23271519506651264	0.27048442971063424	0.22518266268001158	0.2505161803442424	0.30668271150204407	0.1701188436339498	0.22137884618309636	0.3583261184974123	0.20262097604033494	0.2099286899174354	0.3000162659328034	0.27278236846032067	0.2248661239388422	0.1858443098593075	0.33663700574859	0.1933576928543534	0.24658280383543457	0.2434153939863502	0.369372344095279	0.28999690606220413	0.13237273211780506	0.23884832464330588	0.2999306248646381	0.3162419815152886	0.3417362748561793	0.2495686448843674	0.27601362174753047	0.2614003438293153	0.36076853295988676	0.3375263119725553	0.3215521828712226	0.23743890188549022	0.24874173586532852	0.2910253744985012	0.24674441273861894	0.2139348725019306	0.21080329760779268	0.3538501900478567	0.19455440919572095	0.269808975842798	0.45943895129421636	0.24351315378708005	0.23854232126881142	0.182765769494268	0.23580607575563378	0.35686614934636673	0.2451094235793746	0.28229860881059887	0.2626322388331228	0.22587143871631787
