GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99
PYC1	3640.6752010256296	3268.564992940749	359.03562262849437	2601.9113619585455	659.0234226557088	2008.5703542683011	742.0729052151552	2422.7830472069786	610.9315297919366	2422.358698967877	2470.95807107861	3737.7887011661182	2782.498916636617	1844.8949392376373	2177.990623674073	578.375794182436	3548.641037020389	662.2391514684421	3823.3935688535425	3476.614678665303	3736.1972832000047	3280.547587359058	366.52401035888556	2928.6609229610535	1501.313946927634	2271.3798278330473	3955.533798793589	3886.4847495426193	3908.3366059599307	959.523551256532	1317.182135542879	3660.5985422314284	1364.729331936839	1809.2720675478415	2145.85223255144	2811.8172014368547	3952.362845775586	3587.0203799356404	1925.0424178985638	76.52239414959308	1078.1378118262894	2443.922613712121	1836.3113023212416	1448.6251550507263	3198.216800846371	505.06542854984065	181.98786921196924	144.92630983512115	3952.9249148407016	3738.189568477994	2190.594789598688	1883.0002477704106	2928.878818516852	1483.6289115556299	1409.202794823326	3086.2842962603418	3240.041911135508	1714.148134508562	2648.3916121462867	2105.9985569255127	584.3588686047622	3200.811012872747	1940.79228438615	3352.1844232194317	3327.882372467332	3253.7650453943174	3353.014573737274	2543.05694506281	1854.03706437503	3358.75349935328	2641.3096295910586	2809.431187077243	2572.8309451267264	1806.9029487466585	2978.356597638178	3345.595284288218	206.30865406656108	2741.521293620538	296.1131914628031	2585.050839454778	978.4395171358697	2335.1752942054723	2450.549249042018	3155.3867655929207	3757.2034195336832	3502.379913652854	3693.583307505273	2870.11225497108	2786.4318907534525	2486.725595136475	1002.3793609833117	3840.9175567029433	3942.1369496207553	3404.7251340722282	1994.0227165600634	2894.0862969537225	3190.373666282238	948.3788361784266	3882.486268066761	3286.8042823325777
RGT1	2742.078844390119	2894.10528217396	214.00107170116777	1922.3944999340204	335.46097888523633	963.4203027393083	532.5674039668772	1077.8042522302503	202.84560423488844	964.7552341213609	1887.8044579708137	3498.021709778979	2309.5398896680317	1579.6684106467083	1202.5857815602553	253.54109141803195	2941.718955408947	338.5925428855715	3389.8264188620115	2740.4042838899413	3252.670635297016	2828.0811463334576	170.43140771383426	2600.3980856196554	686.6385487413194	1763.6479721788692	3237.9028489225166	3678.356440633504	3026.047759472163	695.230517813693	933.5787623196309	3398.1607980123877	782.2666126966232	1242.5078840376466	1401.5012924109108	1170.267606127211	3698.7260576314948	2065.5611591747	1776.819898746428	32.58298202982378	601.7216844727337	735.3235319464666	983.721316872664	630.0193984073347	2365.5466490114322	279.63864568874345	128.10936458857122	88.52538650961478	3533.2598978742667	3341.7369899163627	1787.4602539861064	1224.1078904336466	2101.9635273944355	711.8479541544403	645.3084615216014	2777.374360503285	2085.793044643472	1211.4421347103068	1595.9078684708054	1170.5221988881037	228.45316110280285	2520.966271954334	1957.413590919968	3515.4362449181267	3002.4244242927844	3509.490288060875	2602.307825614975	1987.626461424574	939.6283368206767	2183.305017346132	2527.246832622403	1593.1470028482322	1525.4930404128884	2071.0787990118556	2736.49739451046	2344.6623859674482	49.079773134975774	1646.8567759978164	136.15684017194295	1767.1703643717465	666.5539162785288	1407.4318462801616	2818.3556948361197	1875.2331924170264	3268.339082865178	2166.434609471938	3448.9100674761394	2236.2129349556617	2214.5216547557457	1107.6260739288139	462.5089638834958	3429.40004496843	3660.2124067319955	3107.8042783205065	1454.3475858060033	2202.2217236463007	2030.7225404954443	300.60696233981685	3470.569510694946	3374.3421077810144
HXT2	132.7489064969611	166.0838731596813	579.3980860903658	194.7761710835325	533.3218364845931	331.4833942240909	453.0420958914636	372.19136577966157	657.6369503503912	275.0343540258572	198.16406419455564	152.16797495879672	188.9274073829303	273.12401313525174	258.83937868818026	520.3868953232438	136.93801009713357	688.0593539353099	151.92690201030854	148.22205209442933	166.00887862939956	165.66201843307428	472.03279879084636	202.08787660971677	480.11480666017286	287.9298636424813	129.2034197661482	118.00257992011288	119.80575579225406	380.16573097662086	489.214081921214	158.00287699795973	305.0948009549768	321.74290063840215	262.27905551815593	244.41409834986803	152.11344355732152	154.37252512810895	324.42472800512235	793.4851643382199	526.2514122126875	334.12323134861555	394.0552467616692	463.8176943975312	132.1874438719082	541.4772747620408	627.4080716688956	641.5926294745025	141.58752997925882	118.21129151668563	239.84750311839358	252.2120291206079	171.74679286582221	407.0772513871731	385.5086378146129	212.35598792282775	175.43695874619618	269.05035987474105	231.54109846248136	248.85718452564427	596.2973997257552	158.0645506700016	190.85827373434554	163.0417556311235	163.33190734499715	128.64651359884374	176.43039213168478	177.2847399227742	364.0813872450879	130.61912448021468	181.6271518881834	304.2063527956138	259.07851806498735	249.5749426318851	148.37701129556942	166.92940094905907	682.4044607002143	247.63459995824775	727.4640642828189	263.67040765296986	336.2030606464905	249.6890439222047	170.52903370879392	176.39728438192233	168.10063066796016	219.42627560859356	180.94243436085395	173.6943157469948	190.11807448830677	266.9723867995048	510.34744916769233	121.80436952058731	157.30498630347077	180.4262089575699	236.65596749039096	206.6116989273402	176.6144701308975	674.7265824552778	134.20278171851527	122.65211426434645
HXT4	182.78372824225815	258.71359830717205	887.3372847052729	329.763424007562	761.0974084942833	696.5111506486719	491.60491123644937	615.9435497578106	1000.4116459379819	479.260442741742	408.17026818468963	315.3999834833966	265.2841748493814	476.8073205361596	396.5421262255988	1146.0013011767514	259.8022363051738	736.1150847817756	277.25918598542603	236.96838447836552	192.4272465324443	304.25830327531924	1216.071681821077	308.3223863777839	955.9853622746347	451.5691987411273	297.86588923395476	275.10733706625984	326.7707833787921	737.13943950109	765.5302284256569	272.8074609047431	568.8833029627045	566.1687940403082	447.70436377151213	488.70686419293804	344.74431220313306	317.4341327233578	318.2418485043053	1247.873985474117	735.0005974665571	791.4770745151811	663.1714505440864	813.1071889213277	302.0239013015082	686.2279640409718	1076.9555299613	1042.913104760786	302.9909548779732	274.85506884202806	376.64902643347585	469.2078336129657	387.21744192664323	782.7925653741152	664.8104670830193	256.3150601282282	306.2147899987101	462.02381591972306	442.6872162741805	470.89563605880176	950.4035794994711	301.8297015242576	261.59135590840447	237.06943547900784	313.42752581746583	323.791065934711	248.71188274721862	392.1608469799102	561.6557000197377	347.98540875943183	342.6122937723903	437.88911366811897	347.9938366400074	354.7432947574948	238.13071239065303	364.9888237978906	1118.6753306968478	358.28318096193516	900.6056728314468	443.2319448594067	798.6278856575005	411.17840651899303	303.0765759343549	409.4497976311435	277.4847638122028	480.5731355279306	283.17748556238485	299.92972237890206	336.0316683576521	439.3293287239079	655.3134414645336	247.5437389411584	214.71696850716344	233.53576106139903	488.1123380783315	326.4807629421167	263.49642828341507	585.9418802357445	353.8921884593872	205.46518733810265
HXT1	80.99549275988359	179.0113853124365	1420.708991613942	270.738359718192	1078.3147556750662	635.6310068594865	980.7579962264857	630.0198683228434	1304.9775415101774	734.2263377972369	360.14975521506386	26.842107232948987	187.47575531599625	505.95900491459054	490.9966041650377	1145.564332791344	140.62887426511156	1178.720083931384	28.775274656191108	84.7641919893266	57.40986418392516	133.73067655849073	1032.9057212061105	126.09786049180887	992.0369252729912	392.75568373893736	40.400113842433775	13.848954998780258	96.99589981378934	688.4152700138236	740.7509409911781	52.10017991480375	759.4381183804885	501.0683828111498	320.35778816714355	382.12389878457344	10.102053066109217	229.95097201681128	350.393274056236	1535.475342809838	809.7174322191933	823.2665251500288	535.1664952461244	806.3127242160739	105.55753852834992	1387.6890000342132	1411.8710252462324	1519.514216023413	25.634668009337513	35.62492223715651	388.29608071989895	494.97093033361057	240.71170943686352	750.4350531832973	1023.2798448735285	142.43642314501332	246.66672055990554	569.6628530485619	408.1010778552917	476.48487617591945	1338.8293840555357	110.50311054979562	132.01136868966518	24.02027821399182	53.70173428462562	35.028284068240005	138.11600774589945	484.74683052519146	568.4067409685841	160.5406680431039	131.2358800219784	384.4711562761104	358.7408388792456	346.0694756477511	109.83021592026988	184.9896807868315	1536.7778210424049	246.8579384141855	1406.0995563465651	319.819794513061	847.5085211437764	493.56088119439494	157.3958585621053	337.2520371595374	72.81213397541168	215.79752098440005	46.12749651841311	217.47984809634718	258.1658683419266	484.50503169720923	985.83483120543	45.66304299310962	11.90086599460071	88.04316126096408	436.8277126109039	250.84335270985648	168.20589239120935	1191.5300088169558	45.80264343292164	33.2629986739553
HXT3	606.9833074772333	691.8544736380197	2703.670323851571	1302.9855426363845	2640.686028841204	2167.177250854812	2609.2127547270065	2414.600750354177	2704.768297639105	2411.1738736309076	1664.12223134495	163.223977713024	1251.3259670192163	1980.452523680849	1995.862557550901	2681.2900312576453	707.3898111553951	2685.396131354198	163.2137302593684	449.3910272086251	284.46990330146093	714.7920405065979	2707.2803657766985	559.4270425876199	2595.0545574496114	1945.718893235884	386.56247515821656	87.9185682422433	550.1853482051016	2167.9698498911457	2375.098579796414	285.4348537508121	2569.199608545041	2270.188341446581	2080.552526652881	1718.8316268751996	53.82846908881239	1216.3243440719968	1496.0997602424684	2724.326674326565	1969.8640559419023	2618.746630696382	2520.1510252218104	2377.763544056659	761.2368560229106	2669.797426699545	2719.2962115894225	2721.119113692675	123.11246249188287	300.6586165425636	1969.8666183669202	1872.503640162313	1026.3162286735214	2417.4069651768673	2572.12962264984	925.299350114886	1234.2272766136534	2264.730742705214	2054.8957508768844	2092.3734242735336	2703.508489749098	603.8667416213325	819.8208088605703	138.4803205848034	360.9213168224416	183.8148060219325	684.8837211964973	2248.308949362345	2337.034266051161	1023.4886433761515	748.1733412588029	1804.866445869945	1628.051030333347	1799.8279982438662	819.7561740101545	1342.5120301784657	2723.020035844413	1129.614928722494	2713.8486750552333	2174.68730497339	2612.2836839627844	1935.724055406792	849.7850094244013	1889.1754906121378	463.9825102609229	894.4728342178665	336.5822846201754	1091.0546954512986	1144.511632362087	1982.4849274187043	2537.830177357475	276.4872405421458	52.131799286602025	584.3832666193531	1620.8269452256043	1786.6090898291359	820.9346262674171	2659.5214478994485	245.27607539253725	156.5523139594552
MIG1	221.10819498949095	1364.1163216771822	67.48724578512643	1216.7942612187874	343.2112505589771	536.8855417365646	236.7839863049413	501.04388314469423	102.12026845133745	413.1035063166997	732.1697701578381	1652.9486565712039	1125.3905936053125	676.5355009272702	579.1392784291064	184.10049129922234	1492.7906911493737	118.26246388242103	1527.9584226248357	1322.8693354956197	1562.6702398959987	1378.272895137077	87.26485433939214	1319.6756294103272	324.6326143119326	751.9428603938189	1603.9869154124522	1358.7398680222843	1448.935136874215	316.10077690451817	362.02033165949973	1590.2030454128221	316.6932393004215	681.0648781999275	700.0120895488411	464.4350544629478	1634.1771062847988	1259.7909994010718	635.6521293083792	13.256096039143932	279.34121094173395	439.9724891495773	482.4076332311949	277.250095955644	1204.9563511296176	142.06550750658198	49.64439808800636	40.922799406709544	1299.209023319079	1530.665401385245	936.6069480620974	502.52834412886205	893.875061449555	292.01713877002726	282.418824634806	1175.0789190121554	928.2200323373096	650.914605326387	1152.146669077816	653.9903658138302	119.26270643080368	1265.6913785389422	1170.0988330415446	1482.7717502366531	1351.1906537509533	1216.8707401705133	1016.6812738157313	837.8232667991396	487.489457062664	1245.4963005739148	1232.5467974260253	829.2844795747923	815.0846563378961	953.1652866561953	1236.6932248933235	937.5216917486549	29.193972151769277	1011.6477751055706	77.3982341882803	762.4404735698623	243.9996440208247	795.1422221335152	1521.2913477345526	1004.1340515723914	1558.6654025873845	1433.0357503561986	1631.8204620712092	1154.4234064392488	1123.0984326443465	521.95930889543	165.23732264858234	1297.9622370068696	1707.6756002924608	1446.677163092193	726.0824520527402	929.7452163581848	1106.646088664441	173.47365405433933	1510.606293733364	1414.8589315037375
GAL1	4483.58487528942	885.0494196670778	5916.007938926101	2077.190662506036	5628.41548689744	4957.88438570272	5572.048305154993	4429.118876360901	5779.89880118519	4384.485638463006	3766.3735311994396	198.77303369469772	2104.934850696756	3706.835079094383	4077.5203169691863	5029.095254250645	1277.6440030320534	5754.646779221862	592.1903950804485	1722.937396284694	266.349335201771	1802.1873873919706	5535.218568355143	1625.045540323593	5429.798902941131	3567.8263344497736	733.0324759515158	165.45302545337037	596.3304051551703	5037.287259399334	3860.221235299808	155.10496897360056	4763.954938248365	5143.973492040568	3883.6146987618677	4777.595475538903	61.9500073445114	1072.2108617435429	4431.161581155044	6013.599523374325	5573.06083976322	4302.931601376118	4930.6614478947295	4497.589419800215	1788.2137244662717	5867.050859748635	5905.349349730047	5968.030702061156	153.10531959803077	583.8921409964967	3169.855488617063	4181.074849564477	2951.9093888137713	4873.267182787995	5769.37981557523	1492.8281659707197	2403.9493203192687	4394.85498125025	1676.110905992034	4592.129182328534	5806.692376735909	1596.1142548162027	1878.2192935651021	796.1611788820359	1282.135889392268	950.0858905810002	2568.4108354934883	2903.276280318687	3924.7862284555836	1023.4147792253316	1827.358928983811	3851.611456724081	2961.17691144487	2603.5822200015095	1415.9202927189808	1890.40852836439	5962.663762090583	2121.016217814975	5942.5241842556925	3198.087560501921	5198.687397881651	3468.527270937544	1379.889740241255	2254.725923265733	296.0620246393815	1833.6839989764744	552.0926110460896	1833.952111697607	2915.5987488413075	4434.25978755919	5764.524884160641	389.6819245357487	96.60998857707666	685.6029990522314	4224.92480070663	2235.2036807471145	1942.5429336997524	5573.774016720721	706.3222627999596	177.29515870655644
CAT8	1293.8033996106624	365.94161804934424	3002.699184739567	732.694047715112	2889.76660347642	2769.867516731776	1649.455004885404	2768.03775216818	2311.518796928073	2633.0753459342827	1875.5907449873068	215.8647972529352	840.7273083401934	1544.3995600910648	2328.0505188096986	2538.509558772246	342.368185649664	2501.5405360088794	173.760839363108	1443.1772704035563	1066.6037108845703	1179.1445724314985	3154.006065748264	819.5225327584642	4310.385082541308	963.506872818179	635.0442477809269	867.8171144522639	1633.6969428580173	1558.9980835416459	1507.4021782413006	470.4834757742421	2467.8113212435687	1075.4575975726439	2289.2693282610353	2181.2546054022255	1204.3284038856714	1069.287717244704	1987.4973943809334	3265.831560238243	1743.551473756626	2615.1664480374557	1643.2019851523626	3449.7555865718896	2013.0140139313814	5317.567083646161	3818.179550816775	3729.6083375501903	713.6081967144581	1784.6311843759665	741.2746865776157	3307.498205949599	1245.907001759849	2055.007147142474	2524.2945609065364	551.5075627885327	563.030044376464	1153.6918157622354	796.3649935326247	832.8874906510954	1468.939896721004	2394.8642352657293	967.1940092574853	438.17309422079643	1409.501362417346	247.94574856542243	2576.9898679080316	1579.6568485766286	2540.732613797145	1183.682765893724	203.4105734796473	643.2334269413722	2869.1473011293583	2812.513491273757	1822.5626218237835	1489.5813183715738	4001.483979699946	730.136746469476	2035.169113454857	1488.9314807705232	2565.3830883099454	1080.6151795095222	1148.0264089474429	1281.3823854047607	1477.7389226752641	607.3840351933211	705.0503392056422	1945.3493518431676	857.0326069702172	1033.09074697537	2882.521653937708	1121.8613715555398	850.5630483420355	573.8542007674604	932.6344161311318	2119.1482758163356	2137.6854848928133	1448.9466721338906	1952.0983767083403	455.57641223452146
JEN1	50.33263327409955	28.821469651558388	44.66587796648506	36.39695728146279	58.69886426421071	70.46584202880835	39.012823788616025	56.89221500599668	47.92535222230533	51.33369197754811	51.896400968601085	20.351966780521472	34.20453739451028	44.55311417060262	51.17066729303929	52.715304772453194	34.62828739816469	48.09708610514244	26.087269308712997	46.91864230444019	33.63506520330841	37.428306733011325	47.87328634773468	40.20882618495973	44.09930423407548	43.38509560989528	26.69077977027993	35.036034407187735	32.825932233684824	52.41137284651664	34.11260011637578	29.235243558988767	69.28570564760535	38.769405373401156	42.36822554619795	54.90545935242184	43.18433352097024	28.29610615604372	56.968257018192425	57.81342050690534	40.49045322799647	60.603877788275526	39.9253422085831	60.48426485897141	51.75753384727862	54.695385196399144	72.5106913866859	41.72188067172726	36.904182347722504	37.47893838210426	37.41204137616091	43.48394471211604	36.20108730317695	40.27378488008859	49.30329662740071	27.348851092765702	35.58957355939566	57.60565642287699	32.573998174603666	33.74880970273395	48.231577449815106	43.85336871796396	36.15019951959925	29.876927494972072	54.11884507246542	31.084803050348942	39.64144265312967	39.13223968382921	59.38148308945836	46.620833012029806	21.280665105049774	38.39802296376959	48.21780951693568	50.84007554361709	54.93861993412318	40.12145603959285	44.372835363205574	42.023557921475366	57.99830680783235	54.26181279418019	51.69376055025006	38.171439639389625	39.98851949273023	46.786172897471424	39.66742341889343	34.3928564680032	33.88941444102878	56.88609180526081	31.27719100879736	43.375356581272435	73.86087982233612	39.1479558630361	38.34882887953904	29.38201146904553	37.908941272178126	57.37094709815402	39.40457731613791	45.383230047510345	42.22160131456089	36.31181714856515
